"USERNAME","DATE","TIME"
"kwog@hydro.mb.ca","2022-10-28","07:47:54"
"kwog@hydro.mb.ca","2022-10-28","07:49:35"
"kwog@hydro.mb.ca","2022-10-28","07:52:56"
"kwog@hydro.mb.ca","2022-10-28","07:59:08"
"kwog@hydro.mb.ca","2022-10-28","08:05:58"
"kwog@hydro.mb.ca","2022-10-28","08:15:34"
"username_13","2022-10-28","08:16:01"
"username_13","2022-10-28","08:16:17"
"username_13","2022-10-28","08:17:24"
"username_13","2022-10-28","08:18:20"
"username_13","2022-10-28","08:20:09"
"kwog@hydro.mb.ca","2022-10-28","08:21:05"
"username_14","2022-10-28","08:22:28"
"username_14","2022-10-28","08:26:37"
"kwog@hydro.mb.ca","2022-10-28","09:00:46"
"username_14","2022-10-28","09:01:16"
"username_14","2022-10-28","09:05:26"
"username_14","2022-10-28","09:08:29"
"username_14","2022-10-28","09:08:54"
"username_14","2022-10-28","09:27:15"
"username_14","2022-10-28","09:28:02"
"kwog@hydro.mb.ca","2022-10-28","11:20:18"
"kwog@hydro.mb.ca","2022-10-28","11:28:32"
"kwog@hydro.mb.ca","2022-10-28","11:29:42"
"kwog@hydro.mb.ca","2022-10-28","11:31:24"
"kwog@hydro.mb.ca","2022-10-28","11:40:36"
"kwog@hydro.mb.ca","2022-10-28","11:41:39"
"kwog@hydro.mb.ca","2022-10-28","11:42:50"
"kwog@hydro.mb.ca","2022-10-28","11:49:16"
"username_14","2022-10-28","11:50:07"
"kwog@hydro.mb.ca","2022-10-28","11:53:54"
"kwog@hydro.mb.ca","2022-10-28","12:27:09"
"kwog@hydro.mb.ca","2022-10-28","12:45:28"
"username_15","2022-10-28","12:54:25"
"username_15","2022-10-28","12:54:54"
"username_16","2022-10-28","12:58:06"
"username_16","2022-10-28","13:00:53"
"kwog@hydro.mb.ca","2022-10-28","13:03:42"
"kwog@hydro.mb.ca","2022-10-28","13:04:29"
"kwog@hydro.mb.ca","2022-10-28","13:13:31"
"kwog@hydro.mb.ca","2022-10-28","13:34:30"
"kwog@hydro.mb.ca","2022-10-28","15:11:20"
"kwog@hydro.mb.ca","2022-10-28","16:47:10"
"kwog@hydro.mb.ca","2022-10-28","16:49:42"
"kwog@hydro.mb.ca","2022-10-28","16:50:35"
"kwog@hydro.mb.ca","2022-10-28","16:51:16"
"kwog@hydro.mb.ca","2022-10-28","16:53:50"
"kwog@hydro.mb.ca","2022-10-28","16:56:15"
"kwog@hydro.mb.ca","2022-10-28","17:00:07"
"kwog@hydro.mb.ca","2022-10-28","17:01:12"
"kwog@hydro.mb.ca","2022-10-28","17:03:12"
"zuccybb2010","2022-10-28","17:05:01"
"zuccybb2010","2022-10-28","17:05:56"
"kwog@hydro.mb.ca","2022-10-28","20:40:53"
"kwog@hydro.mb.ca","2022-10-28","20:42:14"
"kwog@hydro.mb.ca","2022-10-28","20:43:34"
"kwog@hydro.mb.ca","2022-10-28","20:44:36"
"kwog@hydro.mb.ca","2022-10-28","20:46:58"
"kwog@hydro.mb.ca","2022-10-28","20:50:51"
"kwog@hydro.mb.ca","2022-10-28","20:51:39"
"kwog@hydro.mb.ca","2022-10-28","20:52:46"
"kwog@hydro.mb.ca","2022-10-28","20:53:53"
"kwog@hydro.mb.ca","2022-10-28","20:54:22"
"kwog@hydro.mb.ca","2022-10-28","20:58:58"
"kwog@hydro.mb.ca","2022-10-29","14:16:31"
"kwog@hydro.mb.ca","2022-10-29","14:17:26"
"kwog@hydro.mb.ca","2022-10-29","14:18:04"
"kwog@hydro.mb.ca","2022-10-29","14:18:56"
"kwog@hydro.mb.ca","2022-10-29","14:52:25"
"kwog@hydro.mb.ca","2022-10-29","14:53:24"
"kwog@hydro.mb.ca","2022-10-29","14:57:35"
"kwog@hydro.mb.ca","2022-10-29","14:59:29"
"kwog@hydro.mb.ca","2022-10-29","15:07:47"
"kwog@hydro.mb.ca","2022-10-29","15:09:54"
"kwog@hydro.mb.ca","2022-10-29","15:13:49"
"username_18","2022-10-29","15:58:41"
"kwog@hydro.mb.ca","2022-10-29","16:07:17"
"kwog@hydro.mb.ca","2022-10-29","16:15:00"
"bippofatty1234","2022-10-29","16:43:32"
"kwog@hydro.mb.ca","2022-10-29","16:44:09"
"kwog@hydro.mb.ca","2022-10-29","16:53:16"
"kwog@hydro.mb.ca","2022-10-30","19:23:14"
"kwog@hydro.mb.ca","2022-10-31","10:36:30"
"kwog@hydro.mb.ca","2022-10-31","10:43:47"
"kwog@hydro.mb.ca","2022-10-31","10:44:31"
"kwog@hydro.mb.ca","2022-10-31","10:52:49"
"kwog@hydro.mb.ca","2022-10-31","10:55:58"
"kwog@hydro.mb.ca","2022-10-31","10:59:08"
"kwog@hydro.mb.ca","2022-10-31","12:43:54"
"kwog@hydro.mb.ca","2022-10-31","13:15:46"
"kwog@hydro.mb.ca","2022-10-31","15:46:11"
"kwog@hydro.mb.ca","2022-10-31","15:54:59"
"kwog@hydro.mb.ca","2022-10-31","17:05:17"
"kwog@hydro.mb.ca","2022-10-31","17:21:35"
"kwog@hydro.mb.ca","2022-10-31","20:39:25"
"kwog@hydro.mb.ca","2022-10-31","20:45:15"
"kwog@hydro.mb.ca","2022-10-31","20:45:52"
"kwog@hydro.mb.ca","2022-10-31","20:48:06"
"kwog@hydro.mb.ca","2022-10-31","20:51:49"
"kwog@hydro.mb.ca","2022-10-31","21:01:17"
"kwog@hydro.mb.ca","2022-10-31","21:29:40"
"kwog@hydro.mb.ca","2022-10-31","22:50:16"
"kwog@hydro.mb.ca","2022-10-31","22:50:50"
"kwog@hydro.mb.ca","2022-10-31","22:54:50"
"kwog@hydro.mb.ca","2022-10-31","22:56:22"
"kwog@hydro.mb.ca","2022-10-31","23:00:59"
"kwog@hydro.mb.ca","2022-10-31","23:02:08"
"kwog@hydro.mb.ca","2022-10-31","23:04:26"
"kwog@hydro.mb.ca","2022-10-31","23:05:44"
"kwog@hydro.mb.ca","2022-10-31","23:06:12"
"kwog@hydro.mb.ca","2022-11-01","10:28:52"
"kwog@hydro.mb.ca","2022-11-01","10:31:53"
"kwog@hydro.mb.ca","2022-11-01","10:57:28"
"kwog@hydro.mb.ca","2022-11-01","11:00:01"
"kwog@hydro.mb.ca","2022-11-01","11:01:43"
"kwog@hydro.mb.ca","2022-11-01","13:21:55"
"kwog@hydro.mb.ca","2022-11-01","13:24:12"
"kwog@hydro.mb.ca","2022-11-01","13:27:24"
"kwog@hydro.mb.ca","2022-11-01","13:30:21"
"kwog@hydro.mb.ca","2022-11-01","16:05:10"
"kwog@hydro.mb.ca","2022-11-01","16:09:53"
"kwog@hydro.mb.ca","2022-11-01","16:11:47"
"kwog@hydro.mb.ca","2022-11-01","16:13:15"
"kwog@hydro.mb.ca","2022-11-01","16:15:45"
"kwog@hydro.mb.ca","2022-11-01","16:17:38"
"kwog@hydro.mb.ca","2022-11-01","16:23:29"
"kwog@hydro.mb.ca","2022-11-01","16:30:20"
"kwog@hydro.mb.ca","2022-11-01","16:51:34"
"kwog@hydro.mb.ca","2022-11-01","17:01:12"
"kwog@hydro.mb.ca","2022-11-01","17:04:12"
"kwog@hydro.mb.ca","2022-11-01","17:04:41"
"kwog@hydro.mb.ca","2022-11-01","17:10:54"
"kwog@hydro.mb.ca","2022-11-01","18:11:04"
"kwog@hydro.mb.ca","2022-11-01","18:19:47"
"kwog@hydro.mb.ca","2022-11-01","18:25:41"
"kwog@hydro.mb.ca","2022-11-01","18:26:27"
"kwog@hydro.mb.ca","2022-11-01","18:28:47"
"kwog@hydro.mb.ca","2022-11-01","18:29:49"
"kwog@hydro.mb.ca","2022-11-01","18:30:53"
"kwog@hydro.mb.ca","2022-11-01","18:32:23"
"kwog@hydro.mb.ca","2022-11-01","18:33:41"
"kwog@hydro.mb.ca","2022-11-01","18:35:00"
"kwog@hydro.mb.ca","2022-11-02","11:35:46"
"kwog@hydro.mb.ca","2022-11-02","11:42:22"
"kwog@hydro.mb.ca","2022-11-02","11:44:38"
"kwog@hydro.mb.ca","2022-11-02","11:46:21"
"kwog@hydro.mb.ca","2022-11-02","11:49:09"
"kwog@hydro.mb.ca","2022-11-02","11:51:05"
"kwog@hydro.mb.ca","2022-11-02","11:51:52"
"kwog@hydro.mb.ca","2022-11-02","11:52:30"
"kwog@hydro.mb.ca","2022-11-02","11:53:40"
"kwog@hydro.mb.ca","2022-11-02","11:54:17"
"kwog@hydro.mb.ca","2022-11-02","11:57:27"
"kwog@hydro.mb.ca","2022-11-02","14:18:21"
"kwog@hydro.mb.ca","2022-11-02","14:21:28"
"kwog@hydro.mb.ca","2022-11-02","14:27:15"
"kwog@hydro.mb.ca","2022-11-02","14:36:11"
"kwog@hydro.mb.ca","2022-11-02","14:36:13"
"kwog@hydro.mb.ca","2022-11-02","14:49:08"
"kwog@hydro.mb.ca","2022-11-02","14:56:30"
"kwog@hydro.mb.ca","2022-11-02","14:58:20"
"kwog@hydro.mb.ca","2022-11-02","14:59:00"
"kwog@hydro.mb.ca","2022-11-02","15:06:09"
"kwog@hydro.mb.ca","2022-11-02","15:07:49"
"kwog@hydro.mb.ca","2022-11-02","15:07:55"
"kwog@hydro.mb.ca","2022-11-02","15:07:56"
"kwog@hydro.mb.ca","2022-11-02","15:07:56"
"kwog@hydro.mb.ca","2022-11-02","15:07:56"
"kwog@hydro.mb.ca","2022-11-02","15:07:57"
"kwog@hydro.mb.ca","2022-11-02","15:07:57"
"kwog@hydro.mb.ca","2022-11-02","15:07:57"
"kwog@hydro.mb.ca","2022-11-02","15:07:58"
"kwog@hydro.mb.ca","2022-11-02","15:07:58"
"kwog@hydro.mb.ca","2022-11-02","15:07:58"
"kwog@hydro.mb.ca","2022-11-02","15:07:59"
"kwog@hydro.mb.ca","2022-11-02","15:07:59"
"kwog@hydro.mb.ca","2022-11-02","15:07:59"
"kwog@hydro.mb.ca","2022-11-02","15:08:07"
"kwog@hydro.mb.ca","2022-11-02","15:08:07"
"kwog@hydro.mb.ca","2022-11-02","15:08:07"
"kwog@hydro.mb.ca","2022-11-02","15:08:07"
"kwog@hydro.mb.ca","2022-11-02","15:08:08"
"kwog@hydro.mb.ca","2022-11-02","15:08:08"
"kwog@hydro.mb.ca","2022-11-02","15:08:08"
"kwog@hydro.mb.ca","2022-11-02","15:08:09"
"kwog@hydro.mb.ca","2022-11-02","15:08:09"
"kwog@hydro.mb.ca","2022-11-02","15:08:09"
"kwog@hydro.mb.ca","2022-11-02","15:08:10"
"kwog@hydro.mb.ca","2022-11-02","15:08:10"
"kwog@hydro.mb.ca","2022-11-02","15:08:10"
"kwog@hydro.mb.ca","2022-11-02","15:08:11"
"kwog@hydro.mb.ca","2022-11-02","15:08:11"
"kwog@hydro.mb.ca","2022-11-02","15:08:11"
"kwog@hydro.mb.ca","2022-11-02","15:08:11"
"kwog@hydro.mb.ca","2022-11-02","15:08:17"
"kwog@hydro.mb.ca","2022-11-02","15:08:17"
"kwog@hydro.mb.ca","2022-11-02","15:08:18"
"kwog@hydro.mb.ca","2022-11-02","15:08:18"
"kwog@hydro.mb.ca","2022-11-02","15:08:18"
"kwog@hydro.mb.ca","2022-11-02","15:08:18"
"kwog@hydro.mb.ca","2022-11-02","15:08:19"
"kwog@hydro.mb.ca","2022-11-02","15:08:19"
"kwog@hydro.mb.ca","2022-11-02","15:08:19"
"kwog@hydro.mb.ca","2022-11-02","15:08:20"
"kwog@hydro.mb.ca","2022-11-02","15:08:21"
"kwog@hydro.mb.ca","2022-11-02","15:08:22"
"kwog@hydro.mb.ca","2022-11-02","15:08:22"
"kwog@hydro.mb.ca","2022-11-02","15:08:23"
"kwog@hydro.mb.ca","2022-11-02","15:08:23"
"kwog@hydro.mb.ca","2022-11-02","15:08:23"
"kwog@hydro.mb.ca","2022-11-02","15:08:24"
"kwog@hydro.mb.ca","2022-11-02","15:08:24"
"kwog@hydro.mb.ca","2022-11-02","15:08:24"
"kwog@hydro.mb.ca","2022-11-02","15:08:25"
"kwog@hydro.mb.ca","2022-11-02","15:08:25"
"kwog@hydro.mb.ca","2022-11-02","15:08:25"
"kwog@hydro.mb.ca","2022-11-02","15:08:26"
"kwog@hydro.mb.ca","2022-11-02","15:08:26"
"kwog@hydro.mb.ca","2022-11-02","15:08:26"
"kwog@hydro.mb.ca","2022-11-02","15:08:26"
"kwog@hydro.mb.ca","2022-11-02","15:08:27"
"kwog@hydro.mb.ca","2022-11-02","15:08:27"
"kwog@hydro.mb.ca","2022-11-02","15:08:27"
"kwog@hydro.mb.ca","2022-11-02","15:08:28"
"kwog@hydro.mb.ca","2022-11-02","15:08:28"
"kwog@hydro.mb.ca","2022-11-02","15:08:28"
"kwog@hydro.mb.ca","2022-11-02","15:08:29"
"kwog@hydro.mb.ca","2022-11-02","15:08:29"
"kwog@hydro.mb.ca","2022-11-02","15:08:29"
"kwog@hydro.mb.ca","2022-11-02","15:08:30"
"kwog@hydro.mb.ca","2022-11-02","15:08:30"
"kwog@hydro.mb.ca","2022-11-02","15:08:30"
"kwog@hydro.mb.ca","2022-11-02","15:08:30"
"kwog@hydro.mb.ca","2022-11-02","15:08:31"
"kwog@hydro.mb.ca","2022-11-02","15:08:31"
"kwog@hydro.mb.ca","2022-11-02","15:08:31"
"kwog@hydro.mb.ca","2022-11-02","15:08:32"
"kwog@hydro.mb.ca","2022-11-02","15:08:32"
"kwog@hydro.mb.ca","2022-11-02","15:08:32"
"kwog@hydro.mb.ca","2022-11-02","15:08:33"
"kwog@hydro.mb.ca","2022-11-02","15:08:33"
"kwog@hydro.mb.ca","2022-11-02","15:08:33"
"kwog@hydro.mb.ca","2022-11-02","15:08:34"
"kwog@hydro.mb.ca","2022-11-02","15:08:34"
"kwog@hydro.mb.ca","2022-11-02","15:08:34"
"kwog@hydro.mb.ca","2022-11-02","15:08:35"
"kwog@hydro.mb.ca","2022-11-02","15:08:35"
"kwog@hydro.mb.ca","2022-11-02","15:08:35"
"kwog@hydro.mb.ca","2022-11-02","15:08:35"
"kwog@hydro.mb.ca","2022-11-02","15:08:36"
"kwog@hydro.mb.ca","2022-11-02","15:08:36"
"kwog@hydro.mb.ca","2022-11-02","15:08:36"
"kwog@hydro.mb.ca","2022-11-02","15:08:37"
"kwog@hydro.mb.ca","2022-11-02","15:08:37"
"kwog@hydro.mb.ca","2022-11-02","15:08:37"
"kwog@hydro.mb.ca","2022-11-02","15:08:38"
"kwog@hydro.mb.ca","2022-11-02","15:08:38"
"kwog@hydro.mb.ca","2022-11-02","15:08:38"
"kwog@hydro.mb.ca","2022-11-02","15:08:39"
"kwog@hydro.mb.ca","2022-11-02","15:08:39"
"kwog@hydro.mb.ca","2022-11-02","15:08:39"
"kwog@hydro.mb.ca","2022-11-02","15:08:40"
"kwog@hydro.mb.ca","2022-11-02","15:08:40"
"kwog@hydro.mb.ca","2022-11-02","15:08:40"
"kwog@hydro.mb.ca","2022-11-02","15:08:40"
"kwog@hydro.mb.ca","2022-11-02","15:08:41"
"kwog@hydro.mb.ca","2022-11-02","15:08:41"
"kwog@hydro.mb.ca","2022-11-02","15:08:41"
"kwog@hydro.mb.ca","2022-11-02","15:08:42"
"kwog@hydro.mb.ca","2022-11-02","15:08:42"
"kwog@hydro.mb.ca","2022-11-02","15:09:24"
"kwog@hydro.mb.ca","2022-11-02","15:12:27"
"kwog@hydro.mb.ca","2022-11-02","15:16:41"
"kwog@hydro.mb.ca","2022-11-02","15:16:52"
"kwog@hydro.mb.ca","2022-11-02","15:27:51"
"kwog@hydro.mb.ca","2022-11-02","23:21:35"
"kwog@hydro.mb.ca","2022-11-02","23:22:16"
"kwog@hydro.mb.ca","2022-11-02","23:26:02"
"kwog@hydro.mb.ca","2022-11-02","23:35:49"
"kwog@hydro.mb.ca","2022-11-02","23:37:11"
"kwog@hydro.mb.ca","2022-11-02","23:39:36"
"kwog@hydro.mb.ca","2022-11-02","23:41:40"
"kwog@hydro.mb.ca","2022-11-02","23:42:20"
"kwog@hydro.mb.ca","2022-11-02","23:45:53"
"kwog@hydro.mb.ca","2022-11-02","23:47:28"
"kwog@hydro.mb.ca","2022-11-03","08:43:18"
"kwog@hydro.mb.ca","2022-11-03","08:45:06"
"kwog@hydro.mb.ca","2022-11-03","10:44:02"
"kwog@hydro.mb.ca","2022-11-03","10:45:01"
"username_21","2022-11-03","10:47:59"
"kwog@hydro.mb.ca","2022-11-03","11:00:07"
"kwog@hydro.mb.ca","2022-11-03","11:07:05"
"kwog@hydro.mb.ca","2022-11-03","11:16:38"
"kwog@hydro.mb.ca","2022-11-03","11:30:00"
"kwog@hydro.mb.ca","2022-11-03","11:31:26"
"kwog@hydro.mb.ca","2022-11-03","11:34:05"
"kwog@hydro.mb.ca","2022-11-03","11:34:15"
"kwog@hydro.mb.ca","2022-11-03","11:34:16"
"kwog@hydro.mb.ca","2022-11-03","11:36:19"
"kwog@hydro.mb.ca","2022-11-03","11:39:51"
"kwog@hydro.mb.ca","2022-11-03","11:41:07"
"kwog@hydro.mb.ca","2022-11-03","11:47:33"
"kwog@hydro.mb.ca","2022-11-03","11:49:31"
"kwog@hydro.mb.ca","2022-11-03","11:50:44"
"kwog@hydro.mb.ca","2022-11-03","11:51:10"
"kwog@hydro.mb.ca","2022-11-03","11:51:49"
"kwog@hydro.mb.ca","2022-11-03","11:53:20"
"kwog@hydro.mb.ca","2022-11-03","11:55:48"
"kwog@hydro.mb.ca","2022-11-03","11:56:34"
"kwog@hydro.mb.ca","2022-11-03","11:59:02"
"kwog@hydro.mb.ca","2022-11-03","12:01:49"
"kwog@hydro.mb.ca","2022-11-03","12:02:55"
"kwog@hydro.mb.ca","2022-11-03","12:04:58"
"kwog@hydro.mb.ca","2022-11-03","12:05:48"
"kwog@hydro.mb.ca","2022-11-03","12:07:32"
"kwog@hydro.mb.ca","2022-11-03","12:08:09"
"kwog@hydro.mb.ca","2022-11-03","12:08:42"
"kwog@hydro.mb.ca","2022-11-03","12:11:26"
"kwog@hydro.mb.ca","2022-11-03","12:12:55"
"kwog@hydro.mb.ca","2022-11-03","12:13:52"
"kwog@hydro.mb.ca","2022-11-03","12:18:44"
"kwog@hydro.mb.ca","2022-11-03","12:30:40"
"kwog@hydro.mb.ca","2022-11-03","12:54:45"
"kwog@hydro.mb.ca","2022-11-03","13:49:14"
"kwog@hydro.mb.ca","2022-11-03","13:58:32"
"kwog@hydro.mb.ca","2022-11-03","14:01:17"
"kwog@hydro.mb.ca","2022-11-03","14:02:11"
"kwog@hydro.mb.ca","2022-11-03","14:02:42"
"kwog@hydro.mb.ca","2022-11-03","14:03:19"
"kwog@hydro.mb.ca","2022-11-03","14:05:52"
"kwog@hydro.mb.ca","2022-11-03","14:14:40"
"kwog@hydro.mb.ca","2022-11-03","14:16:46"
"kwog@hydro.mb.ca","2022-11-03","14:17:19"
"kwog@hydro.mb.ca","2022-11-03","14:35:03"
"kwog@hydro.mb.ca","2022-11-03","14:37:22"
"kwog@hydro.mb.ca","2022-11-03","14:39:34"
"kwog@hydro.mb.ca","2022-11-03","14:40:41"
"kwog@hydro.mb.ca","2022-11-03","14:41:12"
"kwog@hydro.mb.ca","2022-11-03","14:43:32"
"kwog@hydro.mb.ca","2022-11-03","14:44:32"
"kwog@hydro.mb.ca","2022-11-03","14:57:52"
"kwog@hydro.mb.ca","2022-11-03","15:08:50"
"kwog@hydro.mb.ca","2022-11-03","15:13:11"
"kwog@hydro.mb.ca","2022-11-03","15:18:00"
"kwog@hydro.mb.ca","2022-11-03","15:19:33"
"kwog@hydro.mb.ca","2022-11-03","15:21:23"
"kwog@hydro.mb.ca","2022-11-03","15:21:58"
"kwog@hydro.mb.ca","2022-11-03","15:55:21"
"kwog@hydro.mb.ca","2022-11-03","16:20:27"
"kwog@hydro.mb.ca","2022-11-03","16:24:55"
"kwog@hydro.mb.ca","2022-11-03","16:30:29"
"kwog@hydro.mb.ca","2022-11-03","16:31:16"
"kwog@hydro.mb.ca","2022-11-03","16:35:52"
"kwog@hydro.mb.ca","2022-11-03","16:39:31"
"kwog@hydro.mb.ca","2022-11-03","16:48:09"
"kwog@hydro.mb.ca","2022-11-03","16:51:34"
"kwog@hydro.mb.ca","2022-11-03","16:52:10"
"kwog@hydro.mb.ca","2022-11-03","16:53:43"
"kwog@hydro.mb.ca","2022-11-03","16:56:24"
"kwog@hydro.mb.ca","2022-11-03","16:57:11"
"kwog@hydro.mb.ca","2022-11-03","16:57:48"
"kwog@hydro.mb.ca","2022-11-03","17:12:45"
"kwog@hydro.mb.ca","2022-11-03","17:14:01"
"kwog@hydro.mb.ca","2022-11-03","18:54:06"
"kwog@hydro.mb.ca","2022-11-03","18:56:26"
"kwog@hydro.mb.ca","2022-11-03","18:57:34"
"kwog@hydro.mb.ca","2022-11-03","19:09:28"
"kwog@hydro.mb.ca","2022-11-03","19:13:34"
"kwog@hydro.mb.ca","2022-11-03","19:23:21"
"kwog@hydro.mb.ca","2022-11-03","19:32:07"
"kwog@hydro.mb.ca","2022-11-03","19:34:38"
"kwog@hydro.mb.ca","2022-11-03","19:37:40"
"kwog@hydro.mb.ca","2022-11-04","07:40:18"
"kwog@hydro.mb.ca","2022-11-04","08:26:54"
"kwog@hydro.mb.ca","2022-11-04","08:34:49"
"kwog@hydro.mb.ca","2022-11-04","08:44:26"
"kwog@hydro.mb.ca","2022-11-04","08:51:34"
"kwog@hydro.mb.ca","2022-11-04","08:51:57"
"kwog@hydro.mb.ca","2022-11-04","08:57:28"
"kwog@hydro.mb.ca","2022-11-04","09:05:12"
"kwog@hydro.mb.ca","2022-11-04","09:12:39"
"kwog@hydro.mb.ca","2022-11-04","09:13:21"
"kwog@hydro.mb.ca","2022-11-04","09:22:11"
"kwog@hydro.mb.ca","2022-11-04","09:23:49"
"kwog@hydro.mb.ca","2022-11-04","09:24:41"
"kwog@hydro.mb.ca","2022-11-04","09:26:37"
"kwog@hydro.mb.ca","2022-11-04","09:30:42"
"kwog@hydro.mb.ca","2022-11-04","09:32:44"
"kwog@hydro.mb.ca","2022-11-04","09:33:48"
"kwog@hydro.mb.ca","2022-11-04","09:34:51"
"kwog@hydro.mb.ca","2022-11-04","09:35:19"
"kwog@hydro.mb.ca","2022-11-04","09:37:50"
"kwog@hydro.mb.ca","2022-11-04","09:38:41"
"kwog@hydro.mb.ca","2022-11-04","09:40:38"
"kwog@hydro.mb.ca","2022-11-04","09:43:27"
"kwog@hydro.mb.ca","2022-11-04","09:46:02"
"kwog@hydro.mb.ca","2022-11-04","09:47:05"
"kwog@hydro.mb.ca","2022-11-04","09:48:08"
"kwog@hydro.mb.ca","2022-11-04","09:51:25"
"kwog@hydro.mb.ca","2022-11-04","09:55:12"
"kwog@hydro.mb.ca","2022-11-04","10:04:36"
"kwog@hydro.mb.ca","2022-11-04","10:05:30"
"kwog@hydro.mb.ca","2022-11-04","10:10:17"
"kwog@hydro.mb.ca","2022-11-04","10:11:39"
"kwog@hydro.mb.ca","2022-11-04","10:13:36"
"kwog@hydro.mb.ca","2022-11-04","10:15:23"
"kwog@hydro.mb.ca","2022-11-04","10:18:18"
"kwog@hydro.mb.ca","2022-11-04","10:19:59"
"kwog@hydro.mb.ca","2022-11-04","10:21:36"
"kwog@hydro.mb.ca","2022-11-04","10:45:48"
"kwog@hydro.mb.ca","2022-11-04","10:48:28"
"kwog@hydro.mb.ca","2022-11-04","11:25:24"
"kwog@hydro.mb.ca","2022-11-04","11:32:27"
"kwog@hydro.mb.ca","2022-11-04","11:36:22"
"kwog@hydro.mb.ca","2022-11-04","11:47:00"
"kwog@hydro.mb.ca","2022-11-04","12:02:25"
"kwog@hydro.mb.ca","2022-11-04","12:04:32"
"kwog@hydro.mb.ca","2022-11-04","12:07:11"
"kwog@hydro.mb.ca","2022-11-04","12:07:51"
"kwog@hydro.mb.ca","2022-11-04","12:08:46"
"kwog@hydro.mb.ca","2022-11-04","12:09:58"
"kwog@hydro.mb.ca","2022-11-04","12:25:50"
"kwog@hydro.mb.ca","2022-11-04","12:27:46"
"kwog@hydro.mb.ca","2022-11-04","12:28:53"
"kwog@hydro.mb.ca","2022-11-04","12:30:12"
"kwog@hydro.mb.ca","2022-11-04","12:31:54"
"kwog@hydro.mb.ca","2022-11-04","12:32:51"
"kwog@hydro.mb.ca","2022-11-04","12:35:14"
"kwog@hydro.mb.ca","2022-11-04","12:36:46"
"kwog@hydro.mb.ca","2022-11-04","12:37:32"
"kwog@hydro.mb.ca","2022-11-04","12:50:25"
