"LAST_NAME","FIRST_NAME","MIDDLE_INITIAL","EMAIL","PHONE","FIRST_NATION_COMMUNITY","CITY_TOWN_RESIDENCE","CURRENT_ADDRESS","HOME_ADDRESS","HIGHEST_EDUCATION","APPRENTICESHIP_TRADE_LEVEL","JOB_INTERESTS","ENGAGEMENT_EVENT_ATTENDED","PROJECT_INTERESTS","PREVIOUS_MH_PROJECT_EXPERIENCE","PREVIOUS_PROJECT_EXPERIENCE_DETAILS","JOB_WORKSHOP","NOTES","WORK_AVAILABILITY","CERTIFICATES","RESUME_PATH","DISABILITY","DISABILITY_DETAILS","CLASS_5","CONFINED","AIR_BRAKE","OPERATE_SEASONAL_VEHICLE","CPR","TRAVEL","TRAVEL_AIRPLANE_BOAT","SAFETY","CONSTRUCTION","OUTDOOR_HOT","OUTDOOR_COLD","HEIGHTS","HEAVY_LIFTING","ROAD_CONSTRUCTION","HEAVY_EQUIPTMENT","CONCRETE","POWER_TOOL","DETAIL","AVAILABLE_TO_WORK_DATE","PRESSURE","INDEPENDENT","FORESTRY","ID","INSTANCE","MAX","DATE","TIME","USER"
"","","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",", Education_Certificates/21_Employmentdatabase (6).csv, Education_Certificates/22_zadig-2.7 (1).exe, Education_Certificates/23_Employmentdatabase (4).csv, Education_Certificates/24_Employmentdatabase (3).csv, Education_Certificates/25_user (30).docx, Education_Certificates/26_gmail test.R, Education_Certificates/27_Assignment 2 (4).pdf, Education_Certificates/28_Assignment 2 (3).pdf, Education_Certificates/29_Employmentdatabase (4).csv, Education_Certificates/30_Employmentdatabase (3).csv, Education_Certificates/31_user (30).docx, Education_Certificates/32_gmail test.R, Education_Certificates/33_Assignment 2 (4).pdf, Education_Certificates/34_Assignment 2 (3).pdf","","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","260","4",4,"2023-01-13","10:01:41","kwog@hydro.mb.ca"
"","test 2","","","","Fox Lake Cree Nation","","","","College Graduation",0,"","NO","","NO","","NO","","NO",", Education_Certificates/35_Employmentdatabase (6).csv, Education_Certificates/36_backup (14).employment, Education_Certificates/37_backup (13).employment, Education_Certificates/38_Employmentdatabase (5).csv, Education_Certificates/39_Employmentdatabase (4).csv, Education_Certificates/40_Employmentdatabase (3).csv, Education_Certificates/41_user (30).docx, Education_Certificates/42_gmail test.R, Education_Certificates/43_Assignment 2 (4).pdf, Education_Certificates/44_Assignment 2 (3).pdf, Education_Certificates/45_uTorrent.exe, Education_Certificates/46_pia-windows-x64-3.3.1-06924.exe, Education_Certificates/47_Assignment 2 (2).pdf, Education_Certificates/48_3010 Slides 15.pptx","","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","261","2",2,"2023-01-13","15:14:47","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","College Graduation",0,"","NO","","NO","","NO","","NO",", Education_Certificates/17_list - Sheet1.csv, Education_Certificates/18_Employmentdatabase (6).csv, Education_Certificates/49_Employmentdatabase (4).csv, Education_Certificates/50_Employmentdatabase (3).csv, Education_Certificates/51_user (30).docx, Education_Certificates/52_gmail test.R, Education_Certificates/53_Assignment 2 (4).pdf, Education_Certificates/54_Assignment 2 (3).pdf, Education_Certificates/55_uTorrent.exe, Education_Certificates/56_pia-windows-x64-3.3.1-06924.exe, Education_Certificates/57_Assignment 2 (2).pdf, Education_Certificates/58_3010 Slides 15.pptx","","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","258","2",2,"2023-01-13","15:15:07","kwog@hydro.mb.ca"
"Wog","Kyle","s","elyk.gow@gmail.com","(204) 612 9611","Fox Lake Cree Nation","Winnipeg","6 Wingate Court R3P 2L5","6 wingate Court R3P 2L5","College Graduation",0,"General Construction,Field Monitoring,Generation Construction,Transmission Line Construction","NO","Station Construction","NO","No details","NO","No notes","NO","NA, Education_Certificates/59_zadig-2.7 (1).exe, Education_Certificates/60_zadig-2.7.exe, Education_Certificates/61_list - Sheet1.csv","Resume/id_197.csv","NO","None","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","197","3",3,"2023-01-13","15:32:42","kwog@hydro.mb.ca"
"Kristen","Nepitabo","","","","Fox Lake Cree Nation","","","","College Graduation",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","198","2",2,"2023-01-13","15:34:06","kwog@hydro.mb.ca"
"","new data","","","","Fox Lake Cree Nation","","","","College Graduation",0,"","NO","","NO","","NO","this section is to put notes. Working with these notes will be okay, but mainly looking at making an improved ui","NO","no certificates to upload","","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","262","5",5,"2023-01-13","15:38:57","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","NO","yes","NO","NO","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","263","1",1,"2023-01-20","13:21:47","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","NO","NO","NO","NO","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","264","1",1,"2023-01-20","13:24:00","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","NO","NO","NO","Boat","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","266","1",1,"2023-01-20","14:17:25","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","NO","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","267","1",1,"2023-01-20","14:20:17","kwog@hydro.mb.ca"
"kyle","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","NO","yes","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","268","3",3,"2023-01-20","14:21:08","kwog@hydro.mb.ca"
"","test test test","","","","Fox Lake Cree Nation","","","","GED",0,"Forestry,Field Monitoring,Generation Construction","NO","","NO","","NO","","NO","no certificates to upload","","NO","","Class 4","yes","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","Hand tools,Air tools","NO","NO","NO","No","NO","271","4",4,"2023-01-27","14:20:20","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","tool","NO","NO","Occasionally","NO","273","1",1,"2023-01-27","14:26:32","kwog@hydro.mb.ca"
"","tool","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","Class 5","yes","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","some tool.....","NO","NO","No","NO","272","2",2,"2023-01-27","14:26:56","kwog@hydro.mb.ca"
"Wog","Kyle","s","elyk.gow@gmail.com","2046129611","Fox Lake Cree Nation","winnipeg","12121","6 wingate court","GED",0,"Power Line Tech,Forestry","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","class 1","NO","Working Toward","snowmobile,Boat","Previously","NO","None","NO","NO","NO","Less then full time","yes","yes","Less than 3 years","NO","yes","Hand tools,Air tools,Power tools","Nothing","NO","NO","No","NO","274","1",1,"2023-02-07","18:28:01","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","19398","NO","NO","NO","275","1",1,"2023-02-10","08:28:25","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","yes","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","0","NO","NO","NO","276","2",2,"2023-02-10","14:33:32","kwog@hydro.mb.ca"
"","Resume Test","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","yes","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","0","NO","NO","NO","277","2",2,"2023-02-16","13:06:44","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-16","NO","NO","NO","278","1",1,"2023-02-16","13:09:46","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO",", Education_Certificates/66_INSTALL","Resume/instance_280.C:\Users\kyle_\AppData\Local\Temp\RtmpwHDyhQ/8112f64ffdbba6f65dc56888/0","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-16","NO","NO","NO","280","1",1,"2023-02-16","13:25:39","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","Resume/instance_281.C:\Users\kyle_\AppData\Local\Temp\RtmpwHDyhQ/a4719fc50704875d50f278c2/0","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-16","NO","NO","NO","281","1",1,"2023-02-16","13:26:12","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO",", Education_Certificates/67_INSTALL","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-16","NO","NO","NO","282","1",1,"2023-02-16","13:26:20","kwog@hydro.mb.ca"
"last","first","middle","email","phone","Fox Lake Cree Nation","city","address","h address","GED",0,"","NO","","NO","no","NULL","notes","NO","no certificates to upload","","NO","dis notes","None","yes","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-16","NO","NO","NO","283","2",2,"2023-02-16","13:28:55","kwog@hydro.mb.ca"
"","resume - test - 1","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","Resume/instance_284.docx","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-17","NO","NO","NO","284","1",1,"2023-02-17","08:19:15","kwog@hydro.mb.ca"
"","test 2","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","detail if yes","NULL","","NO","no certificates to upload","","NO","","class 1","yes","yes","Boat,snowmobile","yes","yes","None","Lots","4+ Years","For extended periods of time","For extended periods of time","yes","yes","4+ Years","Through work experience","yes","Hand tools,Air tools","tools","2023-02-28","yes","yes","yes","286","4",4,"2023-02-17","08:25:59","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","yes","NO","snowmobile,Boat","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","Hand tools,Air tools","","2023-02-17","NO","NO","NO","287","4",4,"2023-02-17","08:44:19","kwog@hydro.mb.ca"
"last","first","middle","email","phone","Fox Lake Cree Nation","city","c add","h add","College Graduation",0,"Forestry,General Construction","NO","Transmission Line Construction,Station Construction","NO","detail if yes","NULL","notes","yes","no certificates to upload","Resume/instance_285.docx","yes","dis","class 1","yes","yes","snowmobile,Boat,ATV","yes","yes","None","Lots","4+ Years","For extended periods of time","NO","yes","yes","4+ Years","Through work experience","yes","Air tools,Power tools","tools","2023-02-23","yes","yes","yes","285","5",5,"2023-02-17","08:46:07","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-17","NO","NO","NO","288","1",1,"2023-02-17","10:05:28","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-17","NO","NO","NO","289","1",1,"2023-02-17","10:05:36","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-17","NO","NO","NO","290","1",1,"2023-02-17","10:20:57","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-17","NO","NO","NO","291","1",1,"2023-02-17","10:48:05","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-17","NO","NO","NO","292","1",1,"2023-02-17","10:48:12","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-17","NO","NO","NO","293","1",1,"2023-02-17","10:48:23","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","GED",0,"","NO","","NO","","NULL","kyle 




working 

on","NO","no certificates to upload","","NO","","None","NO","NO","","NO","NO","None","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","2023-02-17","NO","NO","NO","294","1",1,"2023-02-17","12:54:55","kwog@hydro.mb.ca"
